1 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0608725,108.2227493
2 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.06069,108.2218221
3 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0606628,108.222519
4 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060789,108.216239
5 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0606357,108.2223219
6 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060784,108.216194
7 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.0604428,108.2162098
8 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.0611211,108.2191939
9 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060458,108.216129
10 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.060812,108.2161798
11 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060452,108.216077
12 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.0609183,108.2161581
13 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.06075,108.2218599
14 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.0607671,108.2160194
15 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.0608349,108.2217451
16 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060756,108.21597
17 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.0605251,108.2158669
18 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.0607579,108.2157132
19 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0608409,108.2213455
20 Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng ,16.061105,108.2220813
21 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060418,108.215818
22 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.06074,108.215835
23 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0607933,108.2213471
24 Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng ,16.0611002,108.2219529
25 Nguyễn Văn Linh, Bình Hiên, Hải Châu, Đà Nẵng ,16.0607556,108.2212644
26 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.0607289,108.215745
27 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.0603969,108.215663
28 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.0611629,108.2217833
29 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng ,16.0601925,108.2150242
30 Nguyễn Văn Linh, Nam Dương, Q. Hải Châu, Đà Nẵng ,16.060718,108.215655
