1,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140804,108.2048854
2,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143195,108.2051013
3,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141438,108.2053407
4,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143009,108.2047105
5,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140258,108.2044357
6,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142266,108.2047131
7,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141347,108.2052001
8,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142907,108.2044691
9,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140244,108.2045083
10,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143283,108.2044575
11,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141896,108.205055
12,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142902,108.204376
13,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141229,108.2050152
14,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142225,108.2042947
15,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141833,108.2049666
16,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142862,108.2042305
17,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141758,108.2048653
