1,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0105404,108.1642911
2,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0105403,108.1640076
3,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0105404,108.1642911
4,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0105403,108.1640076
5,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0104961,108.1642883
6,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.010167,108.163986
7,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0104427,108.1642811
8,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.010167,108.163986
9,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0103791,108.164272
10,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0101217,108.1640374
11,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0103254,108.1642102
12,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0100764,108.1639753
13,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0103155,108.1642629
14,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0100176,108.1640245
15,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0100112,108.1641686
16,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0099192,108.1639547
17,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0099299,108.1641512
18,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0098069,108.1640003
