1,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0190646,108.210531
2,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0190646,108.210531
3,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0190646,108.210531
4,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0190646,108.210531
5,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0190376,108.2105461
6,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0190106,108.2105612
7,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0189889,108.2105733
8,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0189673,108.2105854
9,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0189472,108.2105966
10,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0188905,108.2105366
11,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0188991,108.2106235
12,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0188381,108.2105754
13,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0188658,108.2106421
14,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.018829,108.2105841
15,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0188191,108.2106682
16,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0187365,108.2106114
17,An Hòa 1, Khuêõ Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0186139,108.2107885
