1,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9868027,108.2413329
2,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9871654,108.241439
3,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9868027,108.2413329
4,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9871654,108.241439
5,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9868027,108.2413329
6,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9872123,108.2414179
7,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9872734,108.2412356
8,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9873079,108.2412901
9,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.987365,108.2411892
10,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9875046,108.2412452
11,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9875508,108.241095
12,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9877005,108.2411507
13,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9876451,108.2410472
14,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9883368,108.2407388
15,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9883971,108.2409242
16,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9877471,108.2410625
17,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9877926,108.2409721
18,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9878881,108.2409974
19,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9883732,108.2407271
20,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9883824,108.2407244
21,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9883915,108.2407217
22,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.988264,108.2408215
23,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9884099,108.2407163
24,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9884191,108.2407136
25,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9884282,108.240711
26,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9884374,108.2407083
27,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9884466,108.2407056
28,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9884747,108.2407733
29,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.98851,108.240687
30,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9886042,108.2408736
31,Đường Bình Kỳ, Hoà Quý, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9886766,108.2406495
