1,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0499786,108.2356125
2,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0501749,108.2352018
3,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0499786,108.2356125
4,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0501025,108.2351672
5,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0499786,108.2356125
6,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0500452,108.2351851
7,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0500748,108.2355632
8,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0499888,108.2352019
9,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0500571,108.2355301
10,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0499374,108.235242
11,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0498564,108.2356472
12,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0499046,108.2352531
13,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0498157,108.2356587
14,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0498346,108.2352823
15,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0497749,108.2356703
16,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.049734,108.2353066
17,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0497288,108.2356615
18,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0496421,108.2352714
19,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0496805,108.2356797
20,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.049579,108.2353388
21,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0496391,108.2357088
22,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0495234,108.2353074
23,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0495935,108.2357218
24,An Dương Vương, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,16.0494803,108.2353204
