1, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0632809,108.2451968
2, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0633659,108.2450298
3, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0632809,108.2451968
4, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.063316,108.2450722
5, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0632809,108.2451968
6, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.063259,108.2450889
7, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0632809,108.2451968
8, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.063202,108.2451056
9, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0628025,108.2453195
10, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.063145,108.2451224
11, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0628025,108.2453195
12, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0630831,108.245121
13, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0628025,108.2453195
14, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0629268,108.2452544
15, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0628025,108.2453195
16, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0627818,108.2452321
17, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0603293,108.2455632
18, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0627419,108.2452414
19, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0623893,108.2454226
20, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0627102,108.2452445
21, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0623374,108.2454381
22, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0627154,108.2453393
23, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0622839,108.2454477
24, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0627728,108.2453084
25, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0622308,108.2454561
26, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626945,108.2453432
27, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0621785,108.2454703
28, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626841,108.2453451
29, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626788,108.245346
30, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626736,108.245347
31, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626684,108.2453479
32, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.062645,108.2451921
33, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626632,108.2453489
34, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0624259,108.2453922
35, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626632,108.2453489
36, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.06225,108.2452519
37, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0626632,108.2453489
38, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0621272,108.2453026
39, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0613377,108.2455128
40, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0618571,108.2453342
41, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0613377,108.2455128
42, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0615772,108.2453865
43, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0613377,108.2455128
44, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0613377,108.2455128
45, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0612372,108.2455143
