1, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0642329,108.2311651
2, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0641799,108.2309567
3, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0641407,108.2311757
4, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639784,108.230993
5, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0641105,108.2311791
6, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639752,108.2309629
7, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0640808,108.2311873
8, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639784,108.230993
9, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0640333,108.231188
10, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639824,108.2310312
11, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639831,108.2311636
12, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639122,108.2310376
13, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639645,108.2311959
14, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638414,108.2310698
15, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639426,108.2311984
16, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638027,108.2310132
17, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639208,108.2312009
18, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637671,108.2309867
19, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638955,108.2311698
20, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063719,108.2310228
21, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638487,108.2311921
22, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636737,108.2310859
23, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638051,108.2312142
24, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636152,108.2310347
25, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637597,108.2312194
26, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0635627,108.2310407
27, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637029,108.2311956
28, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0635161,108.2311016
29, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636578,108.2311974
30, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631993,108.2310766
31, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0635455,108.231244
32, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634295,108.231056
33, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634298,108.2312572
34, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0633938,108.2311044
35, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0633098,108.2312308
36, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0633679,108.2310485
37, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0632906,108.2312732
38, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063313,108.2310694
39, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0632643,108.2312496
40, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0632831,108.2310728
41, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631935,108.2312476
42, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0632532,108.2310762
43, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631857,108.2311743
44, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0632289,108.231133
45, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631857,108.2311743
46, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631564,108.2311408
47, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.062922,108.2312854
48, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631433,108.2311792
49, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.062922,108.2312855
1, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
2, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
3, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
4, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
5, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
6, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
7, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
8, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
9, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
10, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
11, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
12, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
13, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
14, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
15, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
16, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
17, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564469,108.2332297
18, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
19, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
20, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
21, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
22, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
