1, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0877541,108.2400765
2, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0878881,108.2399219
3, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0877541,108.2400765
4, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0878881,108.2399219
5, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0877201,108.240043
6, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0878549,108.2398891
7, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0876862,108.2400095
8, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0878217,108.2398564
9, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0876402,108.2398689
10, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.087792,108.239827
11, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0876325,108.2399565
12, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0877413,108.2398207
13, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0876056,108.23993
14, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0877316,108.2397675
15, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875787,108.2399035
16, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0877009,108.2397372
17, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875519,108.239877
18, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0876744,108.239704
19, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875688,108.2398024
20, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875444,108.2397357
21, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875322,108.2397686
22, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875764,108.23965
23, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0874589,108.2397852
24, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0875418,108.239617
25, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0874283,108.2397551
26, Cao Bá Nhạ, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.087532,108.2396233
