K75/1, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887909,108.2487822
2, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897792,108.2427174
3, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0899221,108.242716
4, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897219,108.2427053
5, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0899073,108.2427617
6, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897859,108.2428614
7, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897859,108.2428614
8, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896542,108.2430079
9, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089787,108.2430173
10, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896994,108.2430575
11, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897739,108.243163
12, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896888,108.2430866
13, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897396,108.2432626
14, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896658,108.2432002
15, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089649,108.2433023
16, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896443,108.2432015
17, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896194,108.2434845
18, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896199,108.2432954
19, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896778,108.2434196
20, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895975,108.243352
21, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896916,108.2436562
22, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089549,108.2433807
23, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0896004,108.2437968
24, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895039,108.243421
25, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894992,108.2440397
26, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089544,108.2435068
27, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895034,108.2441146
28, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894792,108.2435866
29, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894925,108.2442272
30, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894693,108.243631
31, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895057,108.2443633
32, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894556,108.2436778
33, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894007,108.2445086
34, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894603,108.2437305
35, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895435,108.2446421
36, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895267,108.2437473
37, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0897377,108.2453084
38, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089455,108.2437987
39, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895135,108.2447212
