1, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936101,108.2434972
3, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936644,108.2433591
4, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936644,108.2433591
5, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936644,108.2433591
6, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936871,108.2433039
7, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937099,108.2432487
8, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937217,108.24322
9, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937336,108.2431912
10, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937336,108.2431912
11, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937336,108.2431912
12, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937404,108.2431713
13, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937472,108.2431513
14, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.093754,108.2431314
15, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936681,108.2430772
16, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0937667,108.2430941
17, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936719,108.2430396
18, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0938174,108.2429442
19, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.093755,108.2429217
20, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0938174,108.2429442
21, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.093732,108.2428327
1, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1016183,108.2428783
1, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1016183,108.2428783
3, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.101945,108.2430343
4, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1008402,108.2430991
5, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.101945,108.2430343
6, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1008348,108.2431113
7, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1013769,108.2462165
8, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1008294,108.2431235
9, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1013769,108.2462165
10, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.100824,108.2431357
11, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1013769,108.2462165
12, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1012938,108.2462348
13, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1013763,108.2462135
14, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1008133,108.24316
15, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.101375,108.2462075
16, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1008079,108.2431722
17, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.1013738,108.2462016
18, Bùi Quốc Hưng, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.10127,108.2462214
1, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
1, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
3, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
4, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
5, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0961894,108.2461969
6, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
7, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0960944,108.2462567
8, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
